time,temperature,humidity,pressure,current,voltage,command,solar_power
2023-05-22 09:59:37.335558,-0.5138095238095239,46.618095238095236,101355.3361904762,65401.449999999975,18501.12,Setup,687.0
2023-05-22 10:00:26.886069,-0.36904761904761907,47.78000000000001,101352.09666666664,65401.449999999975,18501.12,off,710.0
2023-05-22 10:01:15.437557,-0.2352380952380953,49.01428571428571,101356.02333333335,65401.449999999975,18501.12,off,710.0
2023-05-22 10:02:03.989044,-0.09714285714285717,49.919999999999995,101357.56523809524,65401.449999999975,18501.12,off,710.0
2023-05-22 10:02:52.530112,0.04095238095238095,50.848571428571425,101359.26571428572,65401.449999999975,18501.12,off,710.0
2023-05-22 10:03:42.070519,0.1780952380952381,51.87761904761905,101360.64333333333,65401.449999999975,18501.12,on,710.0
2023-05-22 10:04:30.617063,0.31714285714285717,52.90714285714286,101359.37952380953,65401.449999999975,18501.12,on,710.0
2023-05-22 10:05:19.161459,0.44047619047619047,53.506666666666675,101358.4276190476,65401.449999999975,18501.12,on,710.0
2023-05-22 10:06:07.701973,0.5357142857142859,52.55000000000001,101365.95238095238,65401.449999999975,18501.12,on,710.0
2023-05-22 10:06:56.248349,0.6085714285714288,50.72190476190477,101367.43190476189,65401.449999999975,18501.12,on,710.0
2023-05-22 10:07:44.795800,0.6623809523809523,48.760952380952375,101366.68238095238,65401.449999999975,18501.12,on,710.0
2023-05-22 10:08:33.340299,0.7028571428571428,46.733333333333334,101365.37857142856,65401.449999999975,18501.12,on,710.0
2023-05-22 10:09:21.880865,0.7271428571428572,44.69238095238096,101363.14285714286,65401.449999999975,18501.12,on,710.0
2023-05-22 10:10:10.429163,0.7333333333333335,42.80047619047619,101363.88095238098,65401.449999999975,18501.12,on,710.0
2023-05-22 10:10:58.978759,0.7404761904761906,41.328095238095244,101363.56666666667,65401.449999999975,18501.12,on,710.0
2023-05-22 10:11:47.529106,0.7423809523809526,39.850476190476186,101364.7580952381,65401.449999999975,18501.12,on,710.0
2023-05-22 10:12:36.080580,0.7352380952380955,38.56428571428571,101365.64380952381,65401.449999999975,18501.12,on,710.0
2023-05-22 10:13:24.629977,0.719047619047619,37.336666666666666,101365.47428571428,65401.449999999975,18501.12,on,710.0
2023-05-22 10:14:13.179552,0.7104761904761904,36.28571428571429,101362.86999999998,65401.449999999975,18501.12,on,710.0
2023-05-22 10:15:01.730011,0.6852380952380951,35.37904761904762,101364.16714285716,65401.449999999975,18501.12,on,479.0
2023-05-22 10:15:50.280337,0.6585714285714287,34.57714285714286,101365.58142857143,65401.449999999975,18501.12,on,723.0
2023-05-22 10:16:38.831929,0.6314285714285713,33.89333333333333,101364.7238095238,65401.449999999975,18501.12,on,723.0
2023-05-22 10:17:27.382224,0.6038095238095236,33.24809523809524,101364.31904761904,65401.449999999975,18501.12,on,723.0
2023-05-22 10:18:15.929661,0.5795238095238097,32.72666666666667,101362.93333333332,65401.449999999975,18501.12,on,723.0
2023-05-22 10:19:04.473132,0.5504761904761905,32.26047619047619,101361.67619047618,65401.449999999975,18501.12,on,723.0
2023-05-22 10:19:53.020658,0.5233333333333332,31.81761904761905,101363.06571428571,65401.449999999975,18501.12,on,723.0
2023-05-22 10:20:41.561151,0.48523809523809547,31.39428571428571,101362.20000000001,65401.449999999975,18501.12,on,723.0
2023-05-22 10:21:30.110580,0.45714285714285713,30.937619047619044,101362.79857142858,65401.449999999975,18501.12,on,723.0
2023-05-22 10:22:18.660931,0.420952380952381,30.586666666666662,101361.24095238096,65401.449999999975,18501.12,on,723.0
2023-05-22 10:23:07.212504,0.39666666666666667,30.305714285714284,101363.51619047616,65401.449999999975,18501.12,on,723.0
2023-05-22 10:23:55.761922,0.35857142857142854,30.021904761904754,101362.83809523808,65401.449999999975,18501.12,on,723.0
2023-05-22 10:24:44.312256,0.320952380952381,29.702857142857148,101362.80095238095,65401.449999999975,18501.12,on,723.0
2023-05-22 10:25:32.862653,0.2876190476190476,29.484761904761907,101363.91095238095,65401.449999999975,18501.12,on,723.0
2023-05-22 10:26:21.413254,0.2514285714285715,29.28952380952381,101364.96428571429,65401.449999999975,18501.12,on,723.0
2023-05-22 10:27:09.964553,0.21619047619047632,29.0147619047619,101364.48190476191,65401.449999999975,18501.12,on,723.0
2023-05-22 10:27:58.513167,0.1838095238095238,28.77904761904762,101364.72380952381,65401.449999999975,18501.12,on,723.0
2023-05-22 10:28:47.063409,0.15095238095238092,28.679047619047612,101365.76761904762,65401.449999999975,18501.12,on,723.0
2023-05-22 10:29:35.614862,0.11238095238095241,28.595238095238095,101363.75380952381,65401.449999999975,18501.12,on,723.0
2023-05-22 10:30:24.163434,0.07666666666666669,28.434761904761906,101365.50952380951,65401.449999999975,18501.12,on,745.0
2023-05-22 10:31:12.708817,0.048095238095238114,28.309523809523803,101363.97619047618,65401.449999999975,18501.12,on,745.0
2023-05-22 10:32:01.259161,0.013809523809523811,28.223809523809525,101363.73095238095,65401.449999999975,18501.12,on,745.0
2023-05-22 10:32:49.810077,-0.021428571428571425,28.13095238095238,101363.59619047616,65401.449999999975,18501.12,on,745.0
2023-05-22 10:33:39.366482,-0.05571428571428572,27.99333333333334,101362.28666666665,65401.449999999975,18501.12,off,745.0
2023-05-22 10:34:27.917868,-0.09619047619047622,27.87190476190476,101362.51619047616,65401.449999999975,18501.12,off,745.0
2023-05-22 10:35:16.469232,-0.13095238095238093,27.864285714285707,101361.00999999998,65401.449999999975,18501.12,off,745.0
2023-05-22 10:36:05.020640,-0.15666666666666668,28.05809523809524,101361.6676190476,65401.449999999975,18501.12,off,745.0
