,time,temperature,humidity,pressure,current,voltage,command,solar_power
0,2023-05-22 09:59:37.335558,-0.5138095238095239,46.61809523809524,101355.3361904762,65401.449999999975,18501.12,Setup,687.0
1,2023-05-22 10:00:26.886069,-0.369047619047619,47.78000000000001,101352.09666666664,65401.449999999975,18501.12,off,710.0
2,2023-05-22 10:01:15.437557,-0.2352380952380953,49.01428571428571,101356.02333333336,65401.449999999975,18501.12,off,710.0
3,2023-05-22 10:02:03.989044,-0.0971428571428571,49.92,101357.56523809524,65401.449999999975,18501.12,off,710.0
4,2023-05-22 10:02:52.530112,0.0409523809523809,50.84857142857143,101359.26571428572,65401.449999999975,18501.12,off,710.0
5,2023-05-22 10:03:42.070519,0.1780952380952381,51.87761904761905,101360.64333333333,65401.449999999975,18501.12,on,710.0
6,2023-05-22 10:04:30.617063,0.3171428571428571,52.90714285714286,101359.37952380952,65401.449999999975,18501.12,on,710.0
7,2023-05-22 10:05:19.161459,0.4404761904761904,53.50666666666668,101358.4276190476,65401.449999999975,18501.12,on,710.0
8,2023-05-22 10:06:07.701973,0.5357142857142859,52.55000000000001,101365.95238095238,65401.449999999975,18501.12,on,710.0
9,2023-05-22 10:06:56.248349,0.6085714285714288,50.72190476190477,101367.43190476188,65401.449999999975,18501.12,on,710.0
10,2023-05-22 10:07:44.795800,0.6623809523809523,48.760952380952375,101366.68238095238,65401.449999999975,18501.12,on,710.0
11,2023-05-22 10:08:33.340299,0.7028571428571428,46.73333333333333,101365.37857142856,65401.449999999975,18501.12,on,710.0
12,2023-05-22 10:09:21.880865,0.7271428571428572,44.69238095238096,101363.14285714286,65401.449999999975,18501.12,on,710.0
13,2023-05-22 10:10:10.429163,0.7333333333333335,42.80047619047619,101363.88095238098,65401.449999999975,18501.12,on,710.0
14,2023-05-22 10:10:58.978759,0.7404761904761906,41.32809523809525,101363.56666666668,65401.449999999975,18501.12,on,710.0
15,2023-05-22 10:11:47.529106,0.7423809523809526,39.850476190476186,101364.7580952381,65401.449999999975,18501.12,on,710.0
16,2023-05-22 10:12:36.080580,0.7352380952380955,38.56428571428571,101365.6438095238,65401.449999999975,18501.12,on,710.0
17,2023-05-22 10:13:24.629977,0.719047619047619,37.336666666666666,101365.47428571428,65401.449999999975,18501.12,on,710.0
18,2023-05-22 10:14:13.179552,0.7104761904761904,36.28571428571429,101362.86999999998,65401.449999999975,18501.12,on,710.0
19,2023-05-22 10:15:01.730011,0.6852380952380951,35.37904761904762,101364.16714285716,65401.449999999975,18501.12,on,479.0
20,2023-05-22 10:15:50.280337,0.6585714285714287,34.57714285714286,101365.58142857144,65401.449999999975,18501.12,on,723.0
21,2023-05-22 10:16:38.831929,0.6314285714285713,33.89333333333333,101364.7238095238,65401.449999999975,18501.12,on,723.0
22,2023-05-22 10:17:27.382224,0.6038095238095236,33.24809523809524,101364.31904761904,65401.449999999975,18501.12,on,723.0
23,2023-05-22 10:18:15.929661,0.5795238095238097,32.72666666666667,101362.93333333332,65401.449999999975,18501.12,on,723.0
24,2023-05-22 10:19:04.473132,0.5504761904761905,32.26047619047619,101361.67619047618,65401.449999999975,18501.12,on,723.0
25,2023-05-22 10:19:53.020658,0.5233333333333332,31.81761904761905,101363.06571428572,65401.449999999975,18501.12,on,723.0
26,2023-05-22 10:20:41.561151,0.4852380952380954,31.39428571428571,101362.2,65401.449999999975,18501.12,on,723.0
27,2023-05-22 10:21:30.110580,0.4571428571428571,30.937619047619044,101362.79857142858,65401.449999999975,18501.12,on,723.0
28,2023-05-22 10:22:18.660931,0.420952380952381,30.586666666666662,101361.24095238096,65401.449999999975,18501.12,on,723.0
29,2023-05-22 10:23:07.212504,0.3966666666666666,30.305714285714284,101363.51619047616,65401.449999999975,18501.12,on,723.0
30,2023-05-22 10:23:55.761922,0.3585714285714285,30.021904761904757,101362.83809523808,65401.449999999975,18501.12,on,723.0
31,2023-05-22 10:24:44.312256,0.320952380952381,29.702857142857148,101362.80095238096,65401.449999999975,18501.12,on,723.0
32,2023-05-22 10:25:32.862653,0.2876190476190476,29.484761904761907,101363.91095238096,65401.449999999975,18501.12,on,723.0
33,2023-05-22 10:26:21.413254,0.2514285714285715,29.28952380952381,101364.96428571428,65401.449999999975,18501.12,on,723.0
