,date,value
45,2023-05-16 11:15:00,1119.0
46,2023-05-16 11:30:00,1118.0
47,2023-05-16 11:45:00,922.0
48,2023-05-16 12:00:00,825.0
49,2023-05-16 12:15:00,804.0
50,2023-05-16 12:30:00,818.0
51,2023-05-16 12:45:00,1162.0
52,2023-05-16 13:00:00,1122.0
53,2023-05-16 13:15:00,567.0
54,2023-05-16 13:30:00,135.0
