time,temperature,humidity,pressure,current,voltage,command
2023-05-16 11:09:21.673933,3.4685714285714293,23.09380952380953,101965.83333333333,65401.449999999975,18501.12,Setup
2023-05-16 11:10:11.218381,3.3933333333333335,22.996666666666663,101963.79238095236,65401.449999999975,18501.12,on
2023-05-16 11:10:59.754855,3.3271428571428574,22.93428571428571,101964.97714285714,65401.449999999975,18501.12,on
2023-05-16 11:11:48.302670,3.260476190476191,22.8652380952381,101968.34571428572,65401.449999999975,18501.12,on
2023-05-16 11:12:36.846893,3.2028571428571437,22.82,101968.62238095238,65401.449999999975,18501.12,on
2023-05-16 11:13:25.379327,3.1309523809523805,22.78238095238095,101969.87809523809,65401.449999999975,18501.12,on
2023-05-16 11:14:13.922810,3.0757142857142865,22.735238095238095,101976.12,65401.449999999975,18501.12,on
2023-05-16 11:15:02.465281,3.015714285714285,22.69952380952381,101971.46809523807,65401.449999999975,18501.12,on
2023-05-16 11:15:51.009722,2.955238095238095,22.671904761904766,101968.31666666667,65401.449999999975,18501.12,on
2023-05-16 11:16:39.556065,2.892857142857143,22.618095238095236,101971.83,65401.449999999975,18501.12,on
2023-05-16 11:17:28.088743,2.834285714285714,22.58857142857142,101971.63095238095,65401.449999999975,18501.12,on
2023-05-16 11:18:16.621036,2.7785714285714285,22.573809523809523,101975.11904761905,65401.449999999975,18501.12,on
2023-05-16 11:19:05.151625,2.7238095238095243,22.54095238095238,101971.51285714286,65401.449999999975,18501.12,on
2023-05-16 11:19:53.683069,2.669047619047619,22.52238095238095,101970.01571428572,65401.449999999975,18501.12,on
2023-05-16 11:20:42.215378,2.6180952380952385,22.494761904761905,101971.20857142856,65401.449999999975,18501.12,on
2023-05-16 11:21:30.749838,2.568095238095238,22.484761904761903,101967.1938095238,65401.449999999975,18501.12,on
2023-05-16 11:22:19.283332,2.517142857142858,22.46142857142857,101964.31857142856,65401.449999999975,18501.12,on
2023-05-16 11:23:07.820052,2.460952380952381,22.423809523809524,101963.86999999998,65401.449999999975,18501.12,on
2023-05-16 11:23:56.365249,2.4114285714285715,22.410476190476192,101962.8161904762,65401.449999999975,18501.12,on
2023-05-16 11:24:44.902627,2.3619047619047624,22.408095238095235,101958.08,65401.449999999975,18501.12,on
2023-05-16 11:25:33.446236,2.3128571428571427,22.39285714285714,101961.14666666667,65401.449999999975,18501.12,on
2023-05-16 11:26:21.983636,2.2652380952380944,22.386190476190475,101959.81047619045,65401.449999999975,18501.12,on
2023-05-16 11:27:10.529172,2.2138095238095237,22.387619047619044,101964.58047619047,65401.449999999975,18501.12,on
2023-05-16 11:27:59.074545,2.1704761904761902,22.391904761904765,101964.91095238095,65401.449999999975,18501.12,on
2023-05-16 11:28:47.617882,2.13047619047619,22.352857142857143,101963.06333333334,65401.449999999975,18501.12,on
2023-05-16 11:29:36.155264,2.08047619047619,22.36809523809524,101969.15,65401.449999999975,18501.12,on
2023-05-16 11:30:24.699791,2.0404761904761903,22.37476190476191,101967.7476190476,65401.449999999975,18501.12,on
2023-05-16 11:31:13.247200,1.992380952380952,22.370000000000005,101967.81238095238,65401.449999999975,18501.12,on
2023-05-16 11:32:01.793674,1.9547619047619054,22.36761904761905,101968.69428571429,65401.449999999975,18501.12,on
2023-05-16 11:32:50.344990,1.9076190476190473,22.385238095238094,101964.47904761905,65401.449999999975,18501.12,on
2023-05-16 11:33:38.894422,1.877619047619048,22.33952380952381,101962.29999999997,65401.449999999975,18501.12,on
2023-05-16 11:34:27.443848,1.8319047619047621,22.327142857142853,101962.40571428569,65401.449999999975,18501.12,on
2023-05-16 11:35:15.995763,1.7933333333333332,22.35523809523809,101963.87809523809,65401.449999999975,18501.12,on
2023-05-16 11:36:04.546709,1.7495238095238093,22.342380952380957,101963.92380952381,65401.449999999975,18501.12,on
2023-05-16 11:36:53.098282,1.7147619047619047,22.3752380952381,101965.57904761903,65401.449999999975,18501.12,on
2023-05-16 11:37:41.649702,1.6804761904761905,22.371904761904766,101966.75666666665,65401.449999999975,18501.12,on
2023-05-16 11:38:30.201211,1.645714285714286,22.35904761904762,101969.12809523808,65401.449999999975,18501.12,on
2023-05-16 11:39:18.752478,1.6085714285714285,22.364285714285714,101968.93142857144,65401.449999999975,18501.12,on
2023-05-16 11:40:07.302941,1.5747619047619048,22.345714285714287,101972.08380952381,65401.449999999975,18501.12,on
2023-05-16 11:40:55.850351,1.5390476190476188,22.373809523809523,101974.95809523811,65401.449999999975,18501.12,on
2023-05-16 11:41:44.398948,1.5,22.360476190476188,101978.35238095236,65401.449999999975,18501.12,on
2023-05-16 11:42:32.950307,1.4652380952380952,22.38095238095238,101976.89380952378,65401.449999999975,18501.12,on
2023-05-16 11:43:21.499785,1.4242857142857142,22.381428571428575,101979.05285714284,65401.449999999975,18501.12,on
2023-05-16 11:44:10.051142,1.397619047619047,22.374285714285712,101974.59857142856,65401.449999999975,18501.12,on
2023-05-16 11:44:58.602580,1.3609523809523814,22.395238095238092,101978.20095238094,65401.449999999975,18501.12,on
2023-05-16 11:45:47.151074,1.3314285714285714,22.41761904761905,101975.71285714285,65401.449999999975,18501.12,on
2023-05-16 11:46:35.701567,1.3038095238095242,22.408095238095235,101974.8438095238,65401.449999999975,18501.12,on
2023-05-16 11:47:24.251929,1.2757142857142856,22.419523809523806,101966.87809523809,65401.449999999975,18501.12,on
2023-05-16 11:48:12.801443,1.243809523809524,22.402380952380952,101970.44952380953,65401.449999999975,18501.12,on
2023-05-16 11:49:01.349809,1.2138095238095237,22.44285714285714,101974.28952380951,65401.449999999975,18501.12,on
