time,temperature,humidity,pressure,current,voltage
2023-04-23 23:29:23.114906,17.247619047619043,54.50095238095238,99514.83380952381,65401.449999999975,18501.12
2023-04-23 23:30:12.671174,17.24809523809524,54.48285714285715,99515.11952380951,65401.449999999975,18501.12
2023-04-23 23:31:01.222743,17.26380952380952,54.463333333333345,99515.79476190476,65401.449999999975,18501.12
2023-04-23 23:31:49.774030,17.262857142857136,54.44619047619048,99516.8314285714,65401.449999999975,18501.12
2023-04-23 23:32:38.325533,17.25857142857143,54.43333333333333,99516.98333333332,65401.449999999975,18501.12
2023-04-23 23:33:26.876830,17.240952380952383,54.4504761904762,99518.46571428573,65401.449999999975,18501.12
2023-04-23 23:34:15.428375,17.226190476190474,54.48,99517.52476190476,65401.449999999975,18501.12
2023-04-23 23:35:03.979708,17.204761904761906,54.538571428571416,99517.37238095238,65401.449999999975,18501.12
2023-04-23 23:35:52.531117,17.182380952380957,54.57952380952382,99517.32809523807,65401.449999999975,18501.12
2023-04-23 23:36:41.082507,17.161904761904765,54.61904761904763,99518.04,65401.449999999975,18501.12
2023-04-23 23:37:29.634068,17.139047619047616,54.66952380952381,99518.84285714287,65401.449999999975,18501.12
2023-04-23 23:38:18.185503,17.112380952380953,54.72714285714286,99519.36904761905,65401.449999999975,18501.12
2023-04-23 23:39:06.736802,17.09095238095238,54.76809523809522,99519.9919047619,65401.449999999975,18501.12
2023-04-23 23:39:55.288217,17.063333333333336,54.820952380952384,99519.06904761904,65401.449999999975,18501.12
2023-04-23 23:40:43.839630,17.036190476190473,54.881904761904764,99518.30000000002,65401.449999999975,18501.12
2023-04-23 23:41:32.391146,17.006190476190476,54.94095238095239,99516.08095238096,65401.449999999975,18501.12
2023-04-23 23:42:20.942504,16.976666666666663,55.00095238095238,99515.46095238096,65401.449999999975,18501.12
2023-04-23 23:43:09.493938,16.947619047619046,55.045714285714276,99514.09952380952,65401.449999999975,18501.12
2023-04-23 23:43:58.045337,16.924761904761915,55.07047619047618,99512.23333333331,65401.449999999975,18501.12
2023-04-23 23:44:46.596746,16.886666666666667,54.93904761904762,99511.46761904762,65401.449999999975,18501.12
2023-04-23 23:45:35.148171,16.846666666666664,54.38619047619047,99511.1476190476,65401.449999999975,18501.12
2023-04-23 23:46:23.699758,16.777619047619044,53.3652380952381,99511.92904761907,65401.449999999975,18501.12
2023-04-23 23:47:12.251121,16.696190476190477,51.909047619047605,99511.64142857141,65401.449999999975,18501.12
2023-04-23 23:48:00.802626,16.59619047619047,50.60857142857143,99511.87619047619,65401.449999999975,18501.12
2023-04-23 23:48:49.354056,16.455714285714283,48.51571428571429,99510.16857142856,65401.449999999975,18501.12
2023-04-23 23:49:37.905557,16.310952380952386,46.14000000000001,99509.11476190474,65401.449999999975,18501.12
2023-04-23 23:50:26.457059,16.138571428571428,44.103333333333325,99507.45857142856,65401.449999999975,18501.12
2023-04-23 23:51:15.008659,15.952857142857145,41.889047619047616,99506.10190476189,65401.449999999975,18501.12
2023-04-23 23:52:03.560043,15.756190476190476,39.68380952380952,99506.04761904762,65401.449999999975,18501.12
2023-04-23 23:52:52.111560,15.557142857142859,37.672380952380955,99504.62857142856,65401.449999999975,18501.12
2023-04-23 23:53:40.663116,15.346666666666666,35.971904761904774,99504.43047619045,65401.449999999975,18501.12
2023-04-23 23:54:29.214591,15.12952380952381,34.290952380952376,99503.71857142856,65401.449999999975,18501.12
2023-04-23 23:55:17.765987,14.919999999999996,32.831428571428575,99503.31952380952,65401.449999999975,18501.12
2023-04-23 23:56:06.317442,14.69809523809524,31.399523809523814,99502.3638095238,65401.449999999975,18501.12
2023-04-23 23:56:54.868919,14.464285714285712,30.157142857142855,99502.39571428571,65401.449999999975,18501.12
2023-04-23 23:57:43.420386,14.22904761904762,29.01809523809524,99501.12523809524,65401.449999999975,18501.12
2023-04-23 23:58:31.971917,14.009047619047616,28.006666666666668,99500.37857142858,65401.449999999975,18501.12
2023-04-23 23:59:20.523293,13.784761904761906,27.098571428571432,99499.75761904761,65401.449999999975,18501.12
2023-04-24 00:00:09.074792,13.566190476190476,26.290000000000003,99499.80999999998,65401.449999999975,18501.12
2023-04-24 00:00:57.626227,13.337142857142856,25.59380952380952,99499.41952380953,65401.449999999975,18501.12
2023-04-24 00:01:46.177709,13.11,24.92904761904762,99498.95047619047,65401.449999999975,18501.12
2023-04-24 00:02:34.729282,12.895238095238096,24.244285714285713,99496.67047619045,65401.449999999975,18501.12
2023-04-24 00:03:23.280627,12.680476190476192,23.706190476190475,99496.55190476187,65401.449999999975,18501.12
2023-04-24 00:04:11.832184,12.457619047619046,23.255714285714287,99494.47571428573,65401.449999999975,18501.12
2023-04-24 00:05:00.383665,12.241904761904761,22.77666666666667,99493.58476190476,65401.449999999975,18501.12
2023-04-24 00:05:48.934958,12.02,22.40380952380952,99493.45809523808,65401.449999999975,18501.12
2023-04-24 00:06:37.486387,11.803809523809523,21.993333333333336,99491.2357142857,65401.449999999975,18501.12
2023-04-24 00:07:26.037945,11.590952380952384,21.613333333333333,99491.16952380953,65401.449999999975,18501.12
2023-04-24 00:08:14.589324,11.375714285714286,21.257142857142856,99490.30999999998,65401.449999999975,18501.12
2023-04-24 00:09:03.140785,11.169047619047621,20.97,99489.76571428569,65401.449999999975,18501.12
2023-04-24 00:09:51.692291,10.965238095238094,20.71047619047619,99489.61285714289,65401.449999999975,18501.12
2023-04-24 00:10:40.243746,10.756190476190477,20.49190476190476,99489.87047619047,65401.449999999975,18501.12
