date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2023-05-01 00:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,8,9,8,17,44,79,0.0,1021,9,10,112,8,amersfoort
2023-05-01 03:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,6,8,6,14,34,86,0.0,1020,8,10,111,7,amersfoort
2023-05-01 06:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,5,7,8,7,13,29,81,0.0,1019,8,10,95,6,amersfoort
2023-05-01 09:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,7,15,14,15,5,35,61,0.0,1019,14,10,102,4,amersfoort
2023-05-01 12:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,12,71,47,0.0,1018,17,10,323,10,amersfoort
2023-05-01 15:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,6,17,17,17,13,57,48,0.0,1018,17,10,320,11,amersfoort
2023-05-01 18:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,16,16,16,16,65,60,0.0,1019,16,10,323,12,amersfoort
2023-05-01 21:00:00,17,7,0.0,11.4,4,75,04:04 PM,05:05 AM,06:09 AM,09:03 PM,8,11,11,11,12,100,81,0.0,1020,11,10,305,8,amersfoort
2023-05-02 00:00:00,10,4,0.0,11.4,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,8,7,9,7,19,35,94,0.0,1018,9,2,287,10,amersfoort
2023-05-02 03:00:00,10,4,0.0,11.4,2,82,05:17 PM,05:16 AM,06:07 AM,09:05 PM,6,5,8,5,29,91,84,0.0,1019,8,10,307,21,amersfoort
